action-fantasy-case-1	Street-Rap-Auftritt im Musikvideo
action-fantasy-case-2	Wüsten-Kampfkunstduell der schwarzen Katze
action-fantasy-case-3	Realfilm-Duell der Atemtechniken
action-fantasy-case-4	Hochgeschwindigkeits-Animefolge mit 20 Schnitten
action-fantasy-case-5	Beobachte einen ölverschmierten Mechaniker bei der Reparatur
action-fantasy-case-6	Samurai-Rache als Kurzfilm
action-fantasy-case-7	Stilisierte 3D-Kampfanimation
action-fantasy-case-8	Rasante komödiantische Parodie
action-fantasy-case-9	Tokusatsu-Kampf der Riesenninjas
action-fantasy-case-10	Japanische Anime-Dialogsequenz
action-fantasy-case-11	15-sekündiger Original-Kurzfilm einer Elementarschlacht
action-fantasy-case-12	Fantasie-Ei-Animation im Fabergé-Stil
action-fantasy-case-13	Original-Kurzfilm einer Elementarschlacht
action-fantasy-case-14	Cineastisches Science-Fiction-Fantasy-Duell
action-fantasy-case-15	15-sekündige durchgehende Actionsequenz in einer Einstellung
action-fantasy-case-16	Einsamer Samurai im Patt an der Klippe
action-fantasy-case-17	Luftsturzflug des Schurkendrachens
action-fantasy-case-18	Gerangel um einen Mecha in Schwerelosigkeit
action-fantasy-case-19	Ultraschnelle Flugszene eines Mädchens auf einem Drachen
action-fantasy-case-20	15-sekündiger Original-Kampfkunstfilm in der Wüste
action-fantasy-case-21	Luftangriffssequenz im Canyon
action-fantasy-case-22	15-sekündiger hyperrealistischer Kriegsblockbuster
action-fantasy-case-23	Die Kaffeepause im Büro geht schief
action-fantasy-case-24	15-sekündige durchgehende Actionsequenz in einer Einstellung
action-fantasy-case-25	Schwarzer Schwan gegen Boxer
action-fantasy-case-26	Superman-Start durch aufbrechenden Boden
action-fantasy-case-27	Schwertschatten in der Wolkenhöhle
action-fantasy-case-28	Stadt der Götter – orientalischer Fantasyflug in einer Einstellung
action-fantasy-case-29	Epische Fantasyschlacht – cineastische 10-Sekunden-Sequenz
action-fantasy-case-30	Düstere Fantasyverwandlung im östlichen Stil
cinematic-realism-case-1	Dokumentarische Sequenz über das moderne Japan
cinematic-realism-case-2	Longboard-Abfahrt auf den Spuren eines Schattens
cinematic-realism-case-3	Vom Meteor erweckte Kriegsheldin
pov-fpv-case-1	Tarnverfolgung mit Brustkamera
pov-fpv-case-2	Cyberpunk-Stadttrailer aus Shanghai
pov-fpv-case-3	Konsistenter Action-Prompt eines verfluchten Samurai
pov-fpv-case-4	Göttliche Rettung durch Sun Wukong auf dem Schlachtfeld
pov-fpv-case-5	Y2K-Poolparty-Montage mit Camcorder
pov-fpv-case-6	Städtischer Ausbruch aus Tesla-Karten-Perspektive
pov-fpv-case-7	Anime-Musikvideo mit extremen Nahaufnahmen
pov-fpv-case-8	Schnelle nahtlose Sequenz aus 16 Einstellungen
pov-fpv-case-9	Abstieg über eine mittelalterliche Fantasystadt
pov-fpv-case-10	Ich-Perspektive eines Eiswürfels, der in ein Glas Limonade fällt
pov-fpv-case-11	Raue handgeführte 35-mm-Filmästhetik mit natürlichem Filmkorn
pov-fpv-case-12	10-sekündiges fotorealistisches cineastisches POV-Video
pov-fpv-case-13	Eine superfuturistische Megastadt erwacht nach der Apokalypse im Sturm
pov-fpv-case-14	Stil: ultrarealistischer industrieller Zeitraffer
pov-fpv-case-15	Verwandlung einer Schülerin während eines Monsterangriffs
pov-fpv-case-16	Achterbahnfahrt durch Tokio aus der Ich-Perspektive
pov-fpv-case-17	Cineastische Pekinger Kulturwerbung in 8K und Ich-Perspektive
pov-fpv-case-18	Extreme Makro-FPV-Aufnahme mit Verfolgung von Feenflügeln
commercial-product-case-1	Anime-Trio-Tanzbühne im Stil einer Parfümwerbung
commercial-product-case-2	Duell in einer düsteren Fantasykirche
commercial-product-case-3	Duell in der Halle eines düsteren Fantasyschreins
commercial-product-case-4	Pointe einer japanischen Snackwerbung
commercial-product-case-5	Cineastische Kampfkunstsequenz für Seedance 2
commercial-product-case-6	Grok-Videovergleich derselben Szene
commercial-product-case-7	Geflüsterte Romanze im japanischen Klassenzimmer
commercial-product-case-8	Modus mit empfohlenen Einstellungen
commercial-product-case-9	Storyboard für einen LaFerrari-Werbespot
commercial-product-case-10	Heißblütiges Anime-Finalduell
commercial-product-case-11	Porzellan-Couture auf einem himmlischen Spiegel-Laufsteg
commercial-product-case-12	Erntewerbung eines modernen ländlichen Creators
commercial-product-case-13	Neon-Straßenrennsequenz
commercial-product-case-14	Supermodel und luxuriöse Sportwagen
commercial-product-case-15	Verfolgungsjagd eines Androidenmädchens nach Laborzerstörung
commercial-product-case-16	Game-Trailer in einer zerstörten Neonstadt
commercial-product-case-17	Originaler düsterer Fantasy-Action-Kurzfilm
commercial-product-case-18	00:00–00:04 Einstellung 1: Verfolgungsaufnahme
commercial-product-case-19	Taktische Kampfsequenz auf einem Zug
commercial-product-case-20	Raserei auf dem Handelsparkett von Manhattan
commercial-product-case-21	Mittwoch im Poliziottesco-Stil
commercial-product-case-22	Modewerbung für ein faltbares Smartphone
commercial-product-case-23	Montage mit einem Reisekoffer als Begleiter
commercial-product-case-24	Mode-Lookbook aus der Vogelperspektive mit Outfitwechsel
commercial-product-case-25	Premium-Lifestyle-Werbung im Vlog-Selfie-Stil
reference-driven-case-1	Auftritt eines Skelettpianisten im Miniaturdiorama
reference-driven-case-2	Prinzessin auf dem Sturmschiff gegen den Kraken
reference-driven-case-3	Klingen-Tanz der Dienstmädchen: Mei gegen Coco
reference-driven-case-4	Apokalyptischer Klavierabschied auf dem Dach
reference-driven-case-5	Cineastisches 8-mm-Fisheye, FPV-Renndrohne und hyperflüssige Bewegung
reference-driven-case-6	Referenzgesteuerte Kung-Fu-Stuntsequenz
reference-driven-case-7	Raytracing, Unreal-Engine-Rendering und Kleinstadt im Starkregen
reference-driven-case-8	Nachtschicht im Mond-Supermarkt
reference-driven-case-9	Erwachen auf dem Dach und Verwandlung in eine F-14
reference-driven-case-10	Rüstungsmontage und Gegenangriff auf der Straße
reference-driven-case-11	Charakterreferenz aus Bild 1 als Realfilm umgesetzt
reference-driven-case-12	Eisbären-Schwertduell mit Match-Cut-Vorlage
reference-driven-case-13	Nahtlose Morphing-Sequenz aus sieben Bildern
reference-driven-case-14	Stridex-Sneaker-Werbung
reference-driven-case-15	Bildgesteuerter Prompt mit singender Katze
reference-driven-case-16	Anime-Prompt mit Charakterreferenz
surreal-vfx-case-1	Katana-Kampf in Schwerelosigkeit
surreal-vfx-case-2	Wal in den Wolken – surreales Epos
surreal-vfx-case-3	Verwandlung eines Tiefseetauchers in ein Meereswesen
surreal-vfx-case-4	Zusammenbruch eines interdimensionalen Megastadt-Risses
surreal-vfx-case-5	Verschmelzung in einer regnerischen unterirdischen Gasse
surreal-vfx-case-6	Straßenriss durch Bruch der Quantenrealität
surreal-vfx-case-7	Das Auge öffnet sich plötzlich
surreal-vfx-case-8	Sie prallen über einem schwebenden Lavastrom in der Luft aufeinander
surreal-vfx-case-9	Dimensionsspaziergang des Kreativdirektors
surreal-vfx-case-10	Altarinschrift einer Abgrundkreatur – düstere Fantasy
surreal-vfx-case-11	Szenenverwandlung mit schwebendem UI-Farbrad
templates-structured-case-1	Katastrophaler Untergang eines Supercarriers
templates-structured-case-2	Rekonstruktion von Erinnerungsfragmenten
templates-structured-case-3	Vom Bauplan zur Realität – Verwandlung eines einstöckigen Hauses
templates-structured-case-4	Kampfkunst-Schneider der Haute Couture
templates-structured-case-5	Beat-synchrone Outfitwechsel-Vorlage
templates-structured-case-6	Vorlage eines tanzenden Wolkenkratzerviertels
templates-structured-case-7	Sternenlichtschatten / Sternenstaubsilhouette
templates-structured-case-8	Malerische Parkour-POV-Vorlage
templates-structured-case-9	360-Grad-POV-Vorlage für einen Treppenlauf bergab
templates-structured-case-10	Vorlage für Bewegungen von Speisen und Figuren
templates-structured-case-11	Küchensprint-Vorlage mit unmöglicher Kamera
templates-structured-case-12	POV-Ausbruchsvorlage mit eingefrorener Zeit
templates-structured-case-13	Vorlage für den ersten Weltraumspaziergang eines Astronauten
templates-structured-case-14	Alltagsvorlage eines Golden Retrievers
templates-structured-case-15	Stilisierte 3D-Verwandlung in einem Friseursalon
templates-structured-case-16	Impressionistische Vorlage rudernder Hände
templates-structured-case-17	Kriegerin – strukturierter Motiv-Prompt
general-cinematic-case-1	Frühlingswind-Erinnerungsgedicht
general-cinematic-case-2	Beat-synchrone Mode-Nahaufnahme mit hohen Absätzen
general-cinematic-case-3	Mini-Skateboard-Flucht in einem Kinderzimmer
general-cinematic-case-4	Großmutter-Duell im Rucker Park
general-cinematic-case-5	Feuerwehrmann rettet ein Baby
general-cinematic-case-6	Vorführung einer Verwandlung in historischer Kleidung
general-cinematic-case-7	Ginza bei Nacht, Cyberpunk der Zukunft
general-cinematic-case-8	Geschichten eines Springers
general-cinematic-case-9	Ein verdächtiger Mann steht mitten auf der Shibuya-Kreuzung
general-cinematic-case-10	Handyaufnahme in der Menge auf einem Fischerboot
general-cinematic-case-11	Ein Mädchen fällt rasend schnell durch einen digitalen Tunnel
general-cinematic-case-12	Startsequenz der Skytree-Railgun
general-cinematic-case-13	Hollywood-Filmtrailer
general-cinematic-case-14	Cineastische vertikale 9:16-Sequenz
general-cinematic-case-15	Eine riesige Gletscherwand stürzt neben einer Küstenstadt in einen Fjord
general-cinematic-case-16	Mondbeschienene Klavierverfolgung mit einer Maus
general-cinematic-case-17	15-sekündige durchgehende Cartoonsequenz in einer Einstellung
general-cinematic-case-18	Steampunk-Luftschiffschlacht bei Sonnenuntergang
general-cinematic-case-19	Verfolgungsaufnahme von Flip-Flop-Düsenflügeln
general-cinematic-case-20	Außenansicht eines alten Tempels tief in den Bergen
general-cinematic-case-21	Storyboard eines Sonnenaufgangs an der Freiheitsstatue
general-cinematic-case-22	Historische Szene mit dramatischer Beleuchtung
general-cinematic-case-23	Durchgehende Verfolgungsaufnahme beim Raketen-Surfen
general-cinematic-case-24	Vorlage für einen Stand-up-Comedy-Monolog
general-cinematic-case-25	Geburtstagsverrat als Restaurantdrama
general-cinematic-case-26	Historische Parkour-Sequenz mit Kostümwechsel
general-cinematic-case-27	Motorinneres – mechanisches Detail des Kolbens
general-cinematic-case-28	Japanische Romance-Simulation der 90er im Cel-Animationsstil
general-cinematic-case-29	Cineastische Regietechniken – Prompt mit mehreren Einstellungen
general-cinematic-case-30	Porträt einer ostasiatischen Frau mit natürlichem Lächeln
general-cinematic-case-31	Überleben nach der Apokalypse – cineastisches Szenario
general-cinematic-case-32	Pixar-Waldlichtung – 3D-Animationsszene
general-cinematic-case-33	Kätzchen stiehlt Snacks unter der Decke
general-cinematic-case-34	Seedance 2.0 T2V-Test für natürliche Sprache
general-cinematic-case-35	Horroranimation mit Papierpuppen
